Montants_compte	Salaires	Nbre_mois	Consom_hebdo	Gold
3064	1201	10	361	negatif
3000	1053	11	338	negatif
3155	1133	19	393	negatif
3085	970	4	467	negatif
3245	1258	36	294	positif
3267	1386	35	225	positif
3080	966	13	417	negatif
2974	1189	12	488	negatif
3038	1103	14	677	negatif
3318	1310	29	427	negatif
3317	1362	25	326	positif
3182	1171	28	326	negatif
2998	1102	9	349	negatif
3221	1424	21	382	positif
3019	1230	16	275	negatif
3022	1285	9	303	negatif
3094	1329	11	339	negatif
3009	1210	15	536	negatif
3227	1331	21	414	negatif
3308	1366	24	282	positif
3212	1289	17	302	negatif
3361	1444	25	253	positif
3061	1175	12	261	negatif
3478	1317	42	259	positif
3126	1248	11	315	negatif
3458	1508	43	286	positif
3252	1361	26	346	negatif
3052	1186	14	443	negatif
3270	1399	24	306	positif
3198	1259	20	367	positif
2904	1164	6	311	negatif
3247	1277	19	375	positif
3083	1195	5	441	negatif
3043	1208	14	371	negatif
